20250414	12:38:01	8bfa3124-d5f2-403a-81e9-dc82b69a2a48	GET	/index
20250414	12:38:01	1f57bdfc-3979-4823-bd64-9479516fb9bf	GET	/css/style.css
20250414	12:41:29	5806e8f1-7d2b-4bcc-ae69-71365ef002eb	GET	/index
20250414	12:41:29	234b12b3-aeb1-426d-9fd9-be0bdcf50bb8	GET	/css/style.css
20250414	12:42:31	558d1eb2-3442-44dc-82fe-3b6fbb1ce93b	GET	/index	undefined
20250414	12:42:31	43999b1b-76bd-4ae7-b5e0-6232a639107f	GET	/css/style.css	undefined
20250414	12:46:08	ebc09657-a233-4475-b1ea-07108adaf708	[object Object]
20250414	12:46:17	f01ec8c4-fdfd-4159-8315-217f6beb6558	[object Object]
20250414	12:46:48	58db5337-4b83-417b-a65c-573cd4daa4f5	[object Object]
20250414	12:48:18	c619414c-2f22-4833-b1b8-dc88b55dd6c7	GET	/	undefined
20250414	12:48:18	39e9f8a1-2ca9-4734-90ad-8a9ea333971a	GET	/css/style.css	undefined
20250414	12:48:23	88229c62-384c-409e-a17e-a4a5093e3d52	GET	/	undefined
20250414	12:48:23	19614838-cf7f-455c-b5a6-d3d013effa72	GET	/css/style.css	undefined
20250414	12:50:23	770fcc26-36f7-42d6-b296-13616b57db75	GET	/	undefined
20250414	12:50:23	bfdce222-5b8a-43b1-8b7a-f291b4bcf877	GET	/css/style.css	undefined
20250414	12:55:10	a87dbf28-96fb-4609-880d-d77575bf9d9d	OPTIONS	/	https://www.google.com
20250414	12:55:10	60ef381a-c535-49f7-8088-7e5a88f41caf	GET	/	https://www.google.com
20250414	12:58:11	3c6c0d3f-5f54-441f-9633-70686df14583	OPTIONS	/	https://www.google.com
20250414	12:58:11	b8cbd7ee-6e0a-4be6-8b82-c4efb52dc262	GET	/	https://www.google.com
20250426	11:27:09	a47238e2-3194-4a76-99a1-594461c2fb8b	GET	/css/style.css	undefined
20250426	11:27:13	975b8fac-f38f-4b00-8cf3-b3ead44c01aa	POST	/employee	undefined
20250426	11:27:30	82ef6fcb-72c2-4e94-acd2-f2bc5cb2245d	POST	/employee	undefined
20250426	11:28:54	2585c447-4a46-4fcc-a866-ca6840cac594	GET	/employee	undefined
20250426	11:31:09	51602431-f278-4725-8ee6-bc8117694955	GET	/css/style.css	undefined
20250426	11:31:26	2a4d9327-4d83-412b-81e3-6d25241a2752	GET	/css/style.css	undefined
20250426	11:32:56	b903c663-8e83-47fb-a79b-b78ee2409832	DELETE	/employee/1	undefined
20250426	11:33:26	3f8add01-5b9a-4985-ad19-b79b06c424fa	GET	/employee/1	undefined
20250426	11:33:43	0ac05cff-3c68-48c4-9e90-1997ba8dc8b9	GET	/employee/2	undefined
20250426	11:33:57	e18d6297-4690-4787-8959-c774834d232c	PUT	/employee/2	undefined
20250426	11:34:04	732f6b83-7753-4934-af5a-534af6a1b7ac	PUT	/employee/2	undefined
20250426	11:34:17	3174af3d-51dd-46f0-8e7b-6c94d2595db1	DELETE	/employee/2	undefined
20250505	19:34:33	1c8d6300-456f-485a-82f7-c618e1bfadba	GET	/css/style.css	undefined
20250505	19:34:33	ff765e80-8825-418e-9cad-17d68f1bd7a0	GET	/favicon.ico	undefined
20250505	19:34:56	7fab1fab-b5d2-4673-ba2b-e5c692f525a1	GET	/employee	undefined
20250505	19:35:38	359c4618-bf77-4c39-9b59-674b6f5960f1	GET	/employee	undefined
20250505	19:35:43	8a71a850-b14a-4dbd-bc69-3265c6c43ee2	GET	/employee	undefined
20250505	19:36:21	950156b3-fdf0-4d85-aef8-8f1b6eb0821f	GET	/employee/1	undefined
20250505	19:37:20	7da3acef-d264-4ff0-bebf-ccb33066c1f4	GET	/employee/1	undefined
20250505	19:37:36	9ffebd4d-82cd-426f-bc3f-82752c6d8f6d	POST	/employee/	undefined
20250505	19:37:44	d2c19930-b66f-45b8-a492-b3679d6191b1	POST	/employee	undefined
20250505	19:40:01	47bf9ce9-50c6-4a0d-bd04-ae55eab89eaa	GET	/employee	undefined
20250505	19:40:04	62026fa1-abe0-49be-a0df-51c36a5f3150	POST	/employee	undefined
20250505	19:41:01	974a9afe-e0e6-4264-8a5f-1b8ce618ea8c	POST	/employee	undefined
20250505	20:28:21	ff74b9ae-442e-4257-a4f4-9956e0259d23	GET	/employee	undefined
20250505	20:28:29	8b1aa29e-326c-48f9-a595-60f45c0de1f7	POST	/employee	undefined
20250505	20:44:58	be4330ff-ce0b-4d10-bdc6-5ae7035cb019	GET	/css/style.css	undefined
